,Company,Ticker,,Exchange,Sector,Market Cap
277,Investec plc,INVP,🇬🇧,London Stock Exchange,Financial Services,£3.1bn
278,Investor AB - Class B Shares,INVE B,🇸🇪,Stockholm Stock Exchange,Financial Services,kr389.1bn
279,Ipsen,IPN,🇫🇷,Euronext Paris,Pharmaceuticals & Biotechnology,€10.1bn
280,ISS A/S,ISS,🇩🇰,Copenhagen Stock Exchange,Support Services,kr.26.5bn
281,Italgas S.p.A,IG,🇮🇹,Italian Stock Exchange,Oil & Gas Producers,€4.2bn
282,ITV,ITV,🇬🇧,London Stock Exchange,Media,£3.0bn
283,JCDecaux SA,DEC,🇫🇷,Euronext Paris,Media,€3.6bn
284,"Jeronimo Martins - S.G.P.S., S.A.",JMT,🇵🇹,Euronext Lisbon,Retailers,€15.2bn
285,Johnson Matthey plc,JMAT,🇬🇧,London Stock Exchange,Chemicals,£3.2bn
286,John Wood Group Plc,WG.,🇬🇧,London Stock Exchange,"Oil Equipment, Services & Distribution",£1.1bn
287,Julius Baer Group Ltd,BAER,🇨🇭,SIX Swiss Exchange,Banks,Fr.12.4bn
288,Jupiter Fund Management Plc,JUP,🇬🇧,London Stock Exchange,Financial Services,£583mn
289,Just Eat Takeaway.com N.V.,TKWY,🇳🇱,Euronext Amsterdam,Food and Drug Retailers,€3.2bn
290,Jyske Bank AS,JYSK,🇩🇰,Copenhagen Stock Exchange,Banks,kr.33.4bn
291,KBC Group SA NV,KBC,🇧🇪,Euronext Brussels,Banks,€28.5bn
292,Kering,KER,🇫🇷,Euronext Paris,Leisure Goods,€64.1bn
293,Kerry Group Plc - Class A Shares,KRZ,🇮🇪,Irish Stock Exchange,Food Producers,€15.6bn
294,Kesko Oyj - Class B Shares,KESKOB,🇫🇮,Helsinki Stock Exchange,Retailers,€4.9bn
295,KGHM Polska Miedz S.A.,KGH,🇵🇱,Warsaw Stock Exchange,Industrial Metals,zł23.1bn
296,Kindred Group plc - SDR,KIND SDB,🇸🇪,Stockholm Stock Exchange,Travel & Leisure,kr27.6bn
297,Kingfisher Plc,KGF,🇬🇧,London Stock Exchange,Retailers,£4.5bn
298,Kingspan Group Plc,KRX,🇮🇪,Irish Stock Exchange,Construction & Materials,€13.7bn
299,Kinnevik AB - Class B Shares,KINV B,🇸🇪,Stockholm Stock Exchange,Financial Services,kr31.4bn
300,Kion Group AG,KGX,🇩🇪,Berlin Stock Exchange,Construction & Materials,€5.0bn
301,Klepierre,LI,🇫🇷,Euronext Paris,Real Estate,€6.9bn
302,Knorr-Bremse AG,KBX,🇩🇪,Frankfurt Stock Exchange,Engineering,€10.8bn
303,Kone Corp. - Class B Shares,KNEBV,🇫🇮,Helsinki Stock Exchange,Engineering,€20.4bn
304,Konecranes Plc,KCR,🇫🇮,Helsinki Stock Exchange,General Industrials,€2.5bn
305,Koninklijke Ahold Delhaize N.V.,AD,🇳🇱,Euronext Amsterdam,Food and Drug Retailers,€30.5bn
306,Koninklijke KPN NV,KPN,🇳🇱,Euronext Amsterdam,Telecomms,€13.1bn
307,Koninklijke Philips N.V.,PHIA,🇳🇱,Euronext Amsterdam,Electronic & Electrical Equipment,€17.5bn
308,Koninklijke Vopak,VPK,🇳🇱,Euronext Amsterdam,Commercial Transportation,€4.2bn
309,K & S AG,SDF,🇩🇪,Frankfurt Stock Exchange,Chemicals,€3.4bn
310,Kuehne + Nagel International AG - Ordinary Shares (Registered),KNIN,🇨🇭,SIX Swiss Exchange,Support Services,Fr.33.3bn
311,Lagardere SA,MMB,🇫🇷,Euronext Paris,Conglomerates,€3.0bn
312,Land Securities Group,LAND,🇬🇧,London Stock Exchange,Real Estate Investment Trusts,£4.8bn
313,Lanxess AG,LXS,🇩🇪,Frankfurt Stock Exchange,Chemicals,€2.5bn
314,Legal & General Group plc,LGEN,🇬🇧,London Stock Exchange,Life Insurance,£13.9bn
315,LEG Immobilien SE,LEG,🇩🇪,Frankfurt Stock Exchange,Property,€4.8bn
316,Legrand SA,LR,🇫🇷,Euronext Paris,Electronic & Electrical Equipment,€24.5bn
317,L E Lundbergfoeretagen AB - Class B Shares,LUND B,🇸🇪,Stockholm Stock Exchange,Financial Services,kr70.4bn
318,Leonardo Finmeccanica,LDO,🇮🇹,Italian Stock Exchange,Aerospace & Defence,€7.7bn
319,Linde Plc,LIN,🇺🇸,New York Stock Exchange,Industrial Engineering,$172.3bn
320,Lloyds Banking Group plc,LLOY,🇬🇧,London Stock Exchange,Banks,£27.6bn
321,Logitech International S.A.,LOGN,🇨🇭,SIX Swiss Exchange,Technology Hardware & Equipment,Fr.10.4bn
322,London Stock Exchange Group,LSEG,🇬🇧,London Stock Exchange,Financial Services,£42.2bn
323,Lonza Group AG,LONN,🇨🇭,SIX Swiss Exchange,Pharmaceuticals & Biotechnology,Fr.37.1bn
324,Loomis AB - Class B Shares,LOOMIS,🇸🇪,Stockholm Stock Exchange,General Industrials,kr22.9bn
325,L'Oreal,OR,🇫🇷,Euronext Paris,Personal Goods,€224.6bn
326,LPP SA,LPP,🇵🇱,Warsaw Stock Exchange,Retailers,zł25.3bn
327,Lvmh Moet Hennessy Vuitton SE,MC,🇫🇷,Euronext Paris,Leisure Goods,€419.1bn
328,Man Group Limited,EMG,🇬🇧,London Stock Exchange,Hedge Funds,£2.6bn
329,Mapfre Sociedad Anonima,MAP,🇪🇸,Madrid Stock Exchange,Life Insurance,€5.9bn
330,Marks & Spencer Group,MKS,🇬🇧,London Stock Exchange,Retailers,£4.0bn
331,Mediobanca - Banca Di Credito Finanziario Spa,MB,🇮🇹,Italian Stock Exchange,Banks,€10.0bn
332,Meggitt plc,MGGT,🇬🇧,London Stock Exchange,Aerospace & Defence,£6.3bn
333,Melrose Industries Plc.,MRO,🇬🇧,London Stock Exchange,Industrial Engineering,£7.2bn
334,Mercedes-Benz Group AG,MBG,🇩🇪,Frankfurt Stock Exchange,Automobiles & Parts,€75.3bn
335,Merck KGAA,MRK,🇩🇪,Frankfurt Stock Exchange,Pharmaceuticals & Biotechnology,€21.4bn
336,Merlin Properties SOCIMI S.A,MRL,🇪🇸,Madrid Stock Exchange,Property,€4.0bn
337,Metro AG,B4B,🇩🇪,Frankfurt Stock Exchange,Food and Drug Retailers,€2.7bn
338,Michelin,ML,🇫🇷,Euronext Paris,Automobiles & Parts,€20.4bn
339,Moncler SPA,MONC,🇮🇹,Italian Stock Exchange,Personal Goods,€17.6bn
340,Mondi,MNDI,🇬🇧,London Stock Exchange,Forestry & Paper,£6.3bn
341,Morphosys AG,MOR,🇩🇪,Frankfurt Stock Exchange,Pharmaceuticals & Biotechnology,€978mn
342,Mowi ASA,MOWI,🇳🇴,Oslo Stock Exchange,Food Producers,kr93.1bn
343,MTU Aero Engines AG,MTX,🇩🇪,Frankfurt Stock Exchange,Aerospace & Defence,€11.2bn
344,Muenchener Rueckversicherungs-Gesellschaft AG,MUV2,🇩🇪,Frankfurt Stock Exchange,Nonlife Insurance,€48.0bn
345,National Grid Plc,NG.,🇬🇧,London Stock Exchange,Electricity,£36.5bn
346,Natixis SA,KN,🇫🇷,Euronext Paris,Banks,€12.6bn
347,Naturgy Energy Group S.A.,NTGY,🇪🇸,Madrid Stock Exchange,Oil & Gas Producers,€25.8bn
348,NatWest Group Plc,NWG,🇬🇧,London Stock Exchange,Banks,£21.0bn
349,Neles Corporation,NELES,🇫🇮,Helsinki Stock Exchange,General Industrials,€1.4bn
350,Nemetschek SE,NEM,🇩🇪,Frankfurt Stock Exchange,Software & Computer Services,€7.4bn
351,Neste Corporation,NESTE,🇫🇮,Helsinki Stock Exchange,Oil & Gas Producers,€25.4bn
352,Nestle SA,NESN,🇨🇭,SIX Swiss Exchange,Food Producers,Fr.280.5bn
353,Next plc.,NXT,🇬🇧,London Stock Exchange,Retailers,£8.8bn
354,Nibe Industrier AB - Class B Shares,NIBE B,🇸🇪,Stockholm Stock Exchange,Construction & Materials,kr160.9bn
355,NN Group NV,NN,🇳🇱,Euronext Amsterdam,Nonlife Insurance,€9.9bn
356,Nokia Corp,NOKIA,🇫🇮,Helsinki Stock Exchange,Mobile Telecommunications,€20.3bn
357,Nokian Renkaat Oyj,TYRES,🇫🇮,Helsinki Stock Exchange,Automobiles & Parts,€1.1bn
358,Nordea Bank Abp,NDA FI,🇫🇮,Helsinki Stock Exchange,Banks,€37.2bn
359,Norsk Hydro,NHY,🇳🇴,Oslo Stock Exchange,Alternative Energy,kr131.7bn
360,Novartis AG - Ordinary Shares (Registered),NOVN,🇨🇭,SIX Swiss Exchange,Pharmaceuticals & Biotechnology,Fr.206.3bn
361,Novo Nordisk - Class B Shares,NOVO B,🇩🇰,Copenhagen Stock Exchange,Pharmaceuticals & Biotechnology,kr.2143.5bn
362,Novozymes AS - Class B Shares,NZYM B,🇩🇰,Copenhagen Stock Exchange,Pharmaceuticals & Biotechnology,kr.76.3bn
363,Ocado Group Plc,OCDO,🇬🇧,London Stock Exchange,Food and Drug Retailers,£7.0bn
364,"OC Oerlikon Corporation AG, Pfaffikon",OERL,🇨🇭,SIX Swiss Exchange,Technology Hardware & Equipment,Fr.1.4bn
365,Old Mutual Limited,OMU,🇿🇦,Johannesburg Stock Exchange,Life Insurance,R57.4bn
366,OMV AG,OMV,🇦🇹,Vienna Stock Exchange,Oil & Gas Producers,€13.8bn
367,Orange.,ORA,🇫🇷,Euronext Paris,Telecomms,€27.2bn
368,Orion Corporation - Class B Shares,ORNBV,🇫🇮,Helsinki Stock Exchange,Food Producers,€3.8bn
369,Orkla,ORK,🇳🇴,Oslo Stock Exchange,Conglomerates,kr79.3bn
370,Orlen S.A.,PKN,🇵🇱,Warsaw Stock Exchange,Oil & Gas Producers,zł28.3bn
371,Orpea,ORP,🇫🇷,Euronext Paris,Health Care Equipment & Services,€115mn
372,Orron Energy AB - Class A Shares,ORRON,🇸🇪,Stockholm Stock Exchange,Oil & Gas Producers,kr3.2bn
373,Orsted A/S,ORSTED,🇩🇰,Copenhagen Stock Exchange,Energy,kr.237.6bn
374,Pandora A/S,PNDORA,🇩🇰,Copenhagen Stock Exchange,Personal Goods,kr.60.3bn
375,Partners Group Holding,PGHN,🇨🇭,SIX Swiss Exchange,Financial Services,Fr.26.0bn
376,Pearson plc,PSON,🇬🇧,London Stock Exchange,Media,£6.1bn
377,Pennon Group,PNN,🇬🇧,London Stock Exchange,"Gas, Water & Multiutilities",£1.7bn
378,Pernod Ricard,RI,🇫🇷,Euronext Paris,Beverages,€51.4bn
379,Persimmon plc,PSN,🇬🇧,London Stock Exchange,Home Construction,£3.7bn
380,Phoenix Group Holdings Plc,PHNX,🇬🇧,London Stock Exchange,Life Insurance,£5.5bn
381,Pirelli & C. S.p.A.,PIRC,🇮🇹,Italian Stock Exchange,Automobiles & Parts,€4.6bn
382,Polish Oil & Gas,PGN,🇵🇱,Warsaw Stock Exchange,Oil & Gas Producers,zł29.7bn
383,Polymetal International Plc,POLY,🇬🇧,London Stock Exchange,Mining,£913mn
384,Porsche Automobil Holding SE - PRF PERPETUAL EUR 1,PAH3,🇩🇪,Frankfurt Stock Exchange,Automobiles & Parts,€7.8bn
385,Poste Italiane S.p.a,PST,🇮🇹,Italian Stock Exchange,Industrial Transportation,€13.3bn
386,Powszechna Kasa Oszczednosci Bank Polski SA,PKO,🇵🇱,Warsaw Stock Exchange,Banks,zł49.4bn
387,Powszechny Zaklad Ubezpieczen SA,PZU,🇵🇱,Warsaw Stock Exchange,Nonlife Insurance,zł34.9bn
388,Prosiebensati Media SE,PSM,🇩🇪,Frankfurt Stock Exchange,Media,€2.0bn
389,Proximus,PROX,🇧🇪,Euronext Brussels,Telecomms,€2.3bn
390,Prudential plc,PRU,🇬🇧,London Stock Exchange,Life Insurance,£28.6bn
391,Prysmian S.p.A,PRY,🇮🇹,Italian Stock Exchange,Technology Hardware & Equipment,€9.9bn
392,PSP Swiss Property AG,PSPN,🇨🇭,SIX Swiss Exchange,Real Estate,Fr.4.8bn
393,Publicis Groupe SA,PUB,🇫🇷,Euronext Paris,Media,€18.7bn
394,Puma SE,PUM,🇩🇪,Frankfurt Stock Exchange,Personal Goods,€9.8bn
395,Qiagen NV,QGEN,🇺🇸,New York Stock Exchange,Pharmaceuticals & Biotechnology,$10.1bn
396,Quilter Plc,QLT,🇬🇧,London Stock Exchange,Financial Services,£1.2bn
397,Raiffeisen Bank International AG,RBI,🇦🇹,Vienna Stock Exchange,Banks,€4.4bn
398,Randstad NV,RAND,🇳🇱,Euronext Amsterdam,Support Services,€9.9bn
399,Reckitt Benckiser Group Plc,RKT,🇬🇧,London Stock Exchange,Household Goods,£41.6bn
400,Recordati SpA,REC,🇮🇹,Italian Stock Exchange,Pharmaceuticals & Biotechnology,€9.5bn
401,Redeia Corporacion S.A.,RED,🇪🇸,Madrid Stock Exchange,Electricity,€8.2bn
402,RELX Plc,REL,🇬🇧,London Stock Exchange,Media,£49.7bn
403,Remy Cointreau SA,RCO,🇫🇷,Euronext Paris,Beverages,€7.9bn
404,Renault S.A.,RNO,🇫🇷,Euronext Paris,Automobiles & Parts,€11.3bn
405,Rentokil Initial Plc.,RTO,🇬🇧,London Stock Exchange,Support Services,£15.7bn
406,Repsol S.A,REP,🇪🇸,Madrid Stock Exchange,Oil & Gas Producers,€18.1bn
407,Rexel,RXL,🇫🇷,Euronext Paris,Retailers,€6.5bn
408,Rheinmetall AG,RHM,🇩🇪,Frankfurt Stock Exchange,Aerospace & Defence,€11.5bn
409,Rightmove Plc,RMV,🇬🇧,London Stock Exchange,Media,£4.8bn
410,Rio Tinto plc,RIO,🇬🇧,London Stock Exchange,Mining,£60.0bn
411,Roche Holding AG,ROG,🇨🇭,SIX Swiss Exchange,Pharmaceuticals & Biotechnology,Fr.187.5bn
412,Rockwool AS - Class B Shares,ROCK B,🇩🇰,Copenhagen Stock Exchange,Technology Hardware & Equipment,kr.19.5bn
413,Rolls-Royce Holdings Plc,RR.,🇬🇧,London Stock Exchange,Aerospace & Defence,£17.5bn
414,Rotork plc,ROR,🇬🇧,London Stock Exchange,Industrial Engineering,£2.6bn
415,Royal Boskalis Westminster N.V.,BOKA,🇳🇱,Euronext Amsterdam,Support Services,€4.2bn
416,Royal Unibrew AS,RBREW,🇩🇰,Copenhagen Stock Exchange,Beverages,kr.29.4bn
417,RS Group Plc,RS1,🇬🇧,London Stock Exchange,Support Services,£3.6bn
418,RTL Group,RTLL,🇱🇺,Luxembourg Stock Exchange,Media,€5.7bn
419,Rubis,RUI,🇫🇷,Euronext Paris,Support Services,€2.3bn
420,RWE AG - Class A Shares,RWE,🇩🇪,Frankfurt Stock Exchange,Electricity,€26.0bn
421,Ryanair Holdings Plc,RYA,🇮🇪,Irish Stock Exchange,Travel & Leisure,€18.2bn
422,SAAB AB - Class B Shares,SAAB B,🇸🇪,Stockholm Stock Exchange,General Industrials,kr74.4bn
423,Safran SA,SAF,🇫🇷,Euronext Paris,Aerospace & Defence,€63.4bn
424,Sage Group plc,SGE,🇬🇧,London Stock Exchange,Software & Computer Services,£9.8bn
425,Sainsbury (J) plc,SBRY,🇬🇧,London Stock Exchange,Food and Drug Retailers,£6.4bn
426,Saipem Spa,SPM,🇮🇹,Italian Stock Exchange,Oil & Gas Producers,€1.4bn
427,Salmar Asa,SALM,🇳🇴,Oslo Stock Exchange,Food Producers,kr67.2bn
428,Sampo Plc - Class A Shares,SAMPO,🇫🇮,Helsinki Stock Exchange,Nonlife Insurance,€21.0bn
429,Sandvik AB,SAND,🇸🇪,Stockholm Stock Exchange,General Industrials,kr259.0bn
430,Sanofi,SAN,🇫🇷,Euronext Paris,Pharmaceuticals & Biotechnology,€123.7bn
431,Santander Bank Polska S. A.,SPL,🇵🇱,Warsaw Stock Exchange,Banks,zł40.1bn
432,Sap SE,SAP,🇩🇪,Frankfurt Stock Exchange,Software & Computer Services,€153.7bn
433,Sartorius AG - Preference Share,SRT3,🇩🇪,Frankfurt Stock Exchange,Pharmaceuticals & Biotechnology,€13.8bn
434,Sartorius Stedim Biotech S.A.,DIM,🇫🇷,Euronext Paris,Pharmaceuticals & Biotechnology,€24.9bn
435,SBM Offshore N.V,SBMO,🇳🇱,Euronext Amsterdam,"Oil Equipment, Services & Distribution",€2.4bn
436,Schibsted ASA - Class A Shares,SCHA,🇳🇴,Oslo Stock Exchange,Software & Computer Services,kr22.8bn
437,Schindler Holding AG - Ordinary Shares - Non Voting,SCHP,🇨🇭,SIX Swiss Exchange,Industrial Engineering,Fr.8.4bn
438,Schneider Electric SE,SU,🇫🇷,Euronext Paris,Technology Hardware & Equipment,€92.0bn
439,Schroders,SDR,🇬🇧,London Stock Exchange,Financial Services,£7.2bn
440,Scor SE,SCR,🇫🇷,Euronext Paris,Life Insurance,€5.2bn
441,Scout24 SE,G24,🇩🇪,Frankfurt Stock Exchange,Support Services,€4.6bn
442,SEB,SK,🇫🇷,Euronext Paris,Banks,€5.6bn
443,Securitas AB - Class B Shares,SECU B,🇸🇪,Stockholm Stock Exchange,General Industrials,kr49.2bn
444,Segro Plc,SGRO,🇬🇧,London Stock Exchange,Real Estate Investment Trusts,£9.1bn
445,SES SA - FRR,SESGL,🇱🇺,Luxembourg Stock Exchange,Media,€2.5bn
446,Severn Trent plc,SVT,🇬🇧,London Stock Exchange,"Gas, Water & Multiutilities",£6.2bn
447,SGS AG,SGSN,🇨🇭,SIX Swiss Exchange,Support Services,Fr.15.9bn
448,Siemens AG,SIE,🇩🇪,Frankfurt Stock Exchange,Electronic & Electrical Equipment,€111.3bn
449,Siemens Energy AG,ENR,🇩🇪,Frankfurt Stock Exchange,Energy,€10.8bn
450,Siemens Gamesa Renewable Energy SA,SGRE,🇪🇸,Madrid Stock Exchange,Alternative Energy,€12.3bn
451,Siemens Healthineers AG,SHL,🇩🇪,Frankfurt Stock Exchange,Pharmaceuticals & Biotechnology,€53.7bn
452,Signify NV,LIGHT,🇳🇱,Euronext Amsterdam,Home Construction,€3.4bn
453,Sika AG,SIKA,🇨🇭,SIX Swiss Exchange,Chemicals,Fr.41.3bn
454,Siltronic Ag,WAF,🇩🇪,Frankfurt Stock Exchange,Software & Computer Services,€2.4bn
455,SimCorp,SIM,🇩🇰,Copenhagen Stock Exchange,Software & Computer Services,kr.29.6bn
456,Skandinaviska Enskilda Banken - Class A Shares,SEB A,🇸🇪,Stockholm Stock Exchange,Banks,kr271.6bn
457,Skanska AB - Class B Shares,SKA B,🇸🇪,Stockholm Stock Exchange,Construction & Materials,kr66.0bn
458,SKF AB - Class B Shares,SKF B,🇸🇪,Stockholm Stock Exchange,General Industrials,kr80.2bn
459,Smith (DS) plc,SMDS,🇬🇧,London Stock Exchange,General Industrials,£4.1bn
460,Smith & Nephew plc,SN.,🇬🇧,London Stock Exchange,Health Care Equipment & Services,£9.8bn
461,Smiths Group plc,SMIN,🇬🇧,London Stock Exchange,General Industrials,£5.8bn
462,Smurfit Kappa Group Plc,SKG,🇬🇧,London Stock Exchange,General Industrials,£8.3bn
463,Snam S.p.A.,SRG,🇮🇹,Italian Stock Exchange,"Gas, Water & Multiutilities",€15.7bn
464,Societe Generale S.A.,GLE,🇫🇷,Euronext Paris,Banks,€21.0bn
465,Sodexo,SW,🇫🇷,Euronext Paris,Support Services,€14.1bn
466,Sofina,SOF,🇧🇪,Euronext Brussels,Conglomerates,€7.2bn
467,Solvay SA,SOLB,🇧🇪,Euronext Brussels,Chemicals,€11.2bn
468,Sonova Holding AG,SOON,🇨🇭,SIX Swiss Exchange,Pharmaceuticals & Biotechnology,Fr.14.6bn
469,Sopra Steria Group,SOP,🇫🇷,Euronext Paris,Support Services,€4.1bn
470,Spectris,SXS,🇬🇧,London Stock Exchange,Electronic & Electrical Equipment,£3.5bn
471,Spie ICS,SPIE,🇫🇷,Euronext Paris,Support Services,€4.6bn
472,Spirax-Sarco Engineering plc,SPX,🇬🇧,London Stock Exchange,Industrial Engineering,£7.8bn
473,SSE Plc,SSE,🇬🇧,London Stock Exchange,Electricity,£17.9bn
474,SSP Group Plc,SSPG,🇬🇧,London Stock Exchange,Retailers,£1.9bn
475,Standard Chartered plc,STAN,🇬🇧,London Stock Exchange,Banks,£21.1bn
476,Stellantis N.V,STLA,🇺🇸,New York Stock Exchange,Automobiles & Parts,$58.8bn
477,St. James's Place Plc,STJ,🇬🇧,London Stock Exchange,Life Insurance,£5.0bn
478,ST Microelectronics,STMPA,🇫🇷,Euronext Paris,Electronic & Electrical Equipment,€40.5bn
479,Stora Enso Oyj - Ordinary Shares - Class R,STERV,🇫🇮,Helsinki Stock Exchange,General Industrials,€6.7bn
480,Storebrand ASA,STB,🇳🇴,Oslo Stock Exchange,Financial Services,kr41.2bn
481,Straumann Holding AG,STMN,🇨🇭,SIX Swiss Exchange,Health Care Equipment & Services,Fr.22.9bn
482,Subsea 7 S.A.,SUBC,🇳🇴,Oslo Stock Exchange,Construction & Materials,kr41.7bn
483,Suez.,SEV,🇫🇷,Euronext Paris,"Gas, Water & Multiutilities",€12.7bn
484,Svenska Cellulosa AB - Class B Shares,SCA B,🇸🇪,Stockholm Stock Exchange,Household Goods,kr87.8bn
485,Svenska Handelsbanken - Class A Shares,SHB A,🇸🇪,Stockholm Stock Exchange,Banks,kr185.8bn
486,Swatch Group AG,UHR,🇨🇭,SIX Swiss Exchange,Personal Goods,Fr.7.7bn
487,Swedbank AB - Class A Shares,SWED A,🇸🇪,Stockholm Stock Exchange,Banks,kr222.9bn
488,Swedish Match,SWMA,🇸🇪,Stockholm Stock Exchange,Household Goods,kr173.2bn
489,Swedish Orphan Biovitrum AB,SOBI,🇸🇪,Stockholm Stock Exchange,Pharmaceuticals & Biotechnology,kr65.3bn
490,Swisscom AG,SCMN,🇨🇭,SIX Swiss Exchange,Telecomms,Fr.27.7bn
491,Swiss Life Holding,SLHN,🇨🇭,SIX Swiss Exchange,Life Insurance,Fr.16.4bn
492,Swiss Prime Site AG,SPSN,🇨🇭,SIX Swiss Exchange,Real Estate,Fr.6.5bn
493,Swiss Re Ltd,SREN,🇨🇭,SIX Swiss Exchange,Nonlife Insurance,Fr.27.8bn
494,Symrise AG,SY1,🇩🇪,Frankfurt Stock Exchange,Personal Goods,€13.1bn
495,TAG Immobilien AG,TEG,🇩🇪,Frankfurt Stock Exchange,Property,€1.9bn
496,Tate & Lyle plc,TATE,🇬🇧,London Stock Exchange,Food Producers,£2.9bn
497,Taylor Wimpey,TW.,🇬🇧,London Stock Exchange,Home Construction,£4.2bn
498,Tecan Group AG,TECN,🇨🇭,SIX Swiss Exchange,Technology Hardware & Equipment,Fr.4.4bn
499,TechnipFMC plc,FTI,🇺🇸,New York Stock Exchange,Oil & Gas Producers,$8.1bn
500,Tele2 AB - Class B Shares,TEL2 B,🇸🇪,Stockholm Stock Exchange,Telecomms,kr51.7bn
501,Telecom Italia S.p.A.,TIT,🇮🇹,Italian Stock Exchange,Telecomms,€4.2bn
502,Telefonaktiebolaget L M Ericsson - Class B Shares,ERIC B,🇸🇪,Stockholm Stock Exchange,Telecomms,kr166.5bn
503,Telefonica Deutschland Holding AG,O2D,🇩🇪,Frankfurt Stock Exchange,Telecomms,€5.4bn
504,Telefonica S.A,TEF,🇪🇸,Madrid Stock Exchange,Telecomms,€20.9bn
505,Telenet Group Hldgs NV,TNET,🇧🇪,Euronext Brussels,Telecomms,€2.3bn
506,Telenor ASA,TEL,🇳🇴,Oslo Stock Exchange,Telecomms,kr149.1bn
507,Teleperformance,TEP,🇫🇷,Euronext Paris,Support Services,€7.5bn
508,Telia Company AB,TELIA,🇸🇪,Stockholm Stock Exchange,Support Services,kr85.6bn
509,TEMENOS AG,TEMN,🇨🇭,SIX Swiss Exchange,Banks,Fr.5.5bn
510,Tenaris S.A.,TEN,🇮🇹,Italian Stock Exchange,Industrial Metals,€18.2bn
511,Terna - Trasmissione Elettricita Rete Nazionale,TRN,🇮🇹,Italian Stock Exchange,"Gas, Water & Multiutilities",€14.9bn
512,Tesco plc,TSCO,🇬🇧,London Stock Exchange,Food and Drug Retailers,£18.2bn
513,TGS ASA,TGS,🇳🇴,Oslo Stock Exchange,Oil & Gas Producers,kr17.7bn
514,Thales S.A.,HO,🇫🇷,Euronext Paris,Aerospace & Defence,€28.7bn
515,thyssenkrupp AG,TKA,🇩🇪,Frankfurt Stock Exchange,Construction & Materials,€4.3bn
516,Tomra Systems ASA,TOM,🇳🇴,Oslo Stock Exchange,Support Services,kr45.7bn
517,TotalEnergies SE,TTE,🇫🇷,Euronext Paris,Oil & Gas Producers,€144.5bn
518,Travis Perkins plc,TPK,🇬🇧,London Stock Exchange,Support Services,£1.9bn
519,Trelleborg AB - Class B Shares,TREL B,🇸🇪,Stockholm Stock Exchange,General Industrials,kr62.8bn
520,Tritax Big Box Reit Plc,BBOX,🇬🇧,London Stock Exchange,Real Estate Investment Trusts,£2.7bn
521,Tryg AS,TRYG,🇩🇰,Copenhagen Stock Exchange,Nonlife Insurance,kr.82.9bn
522,Tui AG,TUI1,🇩🇪,Frankfurt Stock Exchange,Travel & Leisure,€3.3bn
523,UBISoft Entertainment,UBI,🇫🇷,Euronext Paris,Personal Goods,€3.6bn
524,UBS Group AG,UBSG,🇨🇭,SIX Swiss Exchange,Banks,Fr.67.2bn
525,UCB SA,UCB,🇧🇪,Euronext Brussels,Pharmaceuticals & Biotechnology,€15.8bn
526,Umicore,UMI,🇧🇪,Euronext Brussels,Industrial Metals,€6.5bn
527,Unibail-Rodamco-Westfield - Stapled (2 Ordinary Shares),URW,🇳🇱,Euronext Amsterdam,Real Estate Investment & Services,€7.1bn
528,Unicredit Spa,UCG,🇮🇹,Italian Stock Exchange,Financial Services,€43.4bn
529,Unilever plc,ULVR,🇬🇧,London Stock Exchange,Household Goods,£104.2bn
530,Unione Di Banche Italiane,UBI,🇮🇹,Italian Stock Exchange,Banks,€4.1bn
531,Uniper SE,UN01,🇩🇪,Frankfurt Stock Exchange,Energy,€2.3bn
532,United Internet AG,UTDI,🇩🇪,Frankfurt Stock Exchange,Software & Computer Services,€3.1bn
533,United Utilities Group PLC - Class A Shares,UU.,🇬🇧,London Stock Exchange,"Gas, Water & Multiutilities",£6.6bn
534,Unite Group plc.,UTG,🇬🇧,London Stock Exchange,Real Estate Investment Trusts,£4.2bn
535,UPM-Kymmene Oyj,UPM,🇫🇮,Helsinki Stock Exchange,General Industrials,€15.9bn
536,Valeo S.A.,FR,🇫🇷,Euronext Paris,Automobiles & Parts,€4.7bn
537,Valmet Corporation,VALMT,🇫🇮,Helsinki Stock Exchange,General Industrials,€4.3bn
538,VAT Group AG,VACN,🇨🇭,SIX Swiss Exchange,Industrial Engineering,Fr.10.8bn
539,Veolia Environnement S.A.,VIE,🇫🇷,Euronext Paris,"Gas, Water & Multiutilities",€20.3bn
540,Verbund AG,VER,🇦🇹,Vienna Stock Exchange,Electricity,€12.8bn
541,Vestas Wind Systems AS,VWS,🇩🇰,Copenhagen Stock Exchange,Alternative Energy,kr.177.3bn
542,Victrex plc,VCT,🇬🇧,London Stock Exchange,Chemicals,£1.3bn
543,Vifor Pharma AG,VIFN,🇨🇭,SIX Swiss Exchange,Health Care Equipment & Services,Fr.10.8bn
544,Vinci,DG,🇫🇷,Euronext Paris,Construction & Materials,€61.4bn
545,Virgin Money UK Plc.,VMUK,🇬🇧,London Stock Exchange,Banks,£1.1bn
546,Viscofan S.A.,VIS,🇪🇸,Madrid Stock Exchange,Food Producers,€2.8bn
547,Vivendi SE,VIV,🇫🇷,Euronext Paris,Mobile Telecommunications,€8.4bn
548,Vodafone Group plc,VOD,🇬🇧,London Stock Exchange,Mobile Telecommunications,£19.6bn
549,Voestalpine AG,VOE,🇦🇹,Vienna Stock Exchange,Industrial Metals,€5.0bn
