,Company,Ticker,,Exchange,Sector,Market Cap
64,Banco BPM S.p.A,BAMI,🇮🇹,Italian Stock Exchange,Financial Services,€6.4bn
65,"Banco Comercial Portugues, S.A.",BCP,🇵🇹,Euronext Lisbon,Banks,€3.7bn
66,"Banco de Sabadell, S.A.",SAB,🇪🇸,Valencia Stock Exchange,Banks,€1.7bn
67,Banco Santander S.A.,SAN,🇪🇸,Madrid Stock Exchange,Banks,€57.4bn
68,Bankinter SA,BKT,🇪🇸,Madrid Stock Exchange,Banks,€5.4bn
69,Bank of Ireland Group Plc,BIRG,🇮🇪,Irish Stock Exchange,Banks,€10.2bn
70,Bank Polska Kasa Opieki SA,PEO,🇵🇱,Warsaw Stock Exchange,Banks,zł29.5bn
71,Barclays plc,BARC,🇬🇧,London Stock Exchange,Banks,£23.1bn
72,Barratt Developments plc,BDEV,🇬🇧,London Stock Exchange,Home Construction,£4.4bn
73,Barry Callebaut AG,BARN,🇨🇭,SIX Swiss Exchange,Food Producers,Fr.8.8bn
74,Basf SE,BAS,🇩🇪,Frankfurt Stock Exchange,Chemicals,€41.5bn
75,Bayer AG,BAYN,🇩🇪,Frankfurt Stock Exchange,Pharmaceuticals & Biotechnology,€51.2bn
76,Bayerische Motoren Werke AG,BMW,🇩🇪,Xetra,Automobiles & Parts,€61.3bn
77,BB Biotech AG,BION,🇨🇭,SIX Swiss Exchange,Pharmaceuticals & Biotechnology,Fr.2.3bn
78,Beazley Plc.,BEZ,🇬🇧,London Stock Exchange,Nonlife Insurance,£3.6bn
79,Bechtle AG,BC8,🇩🇪,Frankfurt Stock Exchange,Software & Computer Services,€5.0bn
80,Beiersdorf AG,BEI,🇩🇪,Frankfurt Stock Exchange,Personal Goods,€30.3bn
81,Bellway plc,BWY,🇬🇧,London Stock Exchange,Home Construction,£2.6bn
82,Berkeley Group Holdings,BKG,🇬🇧,London Stock Exchange,Home Construction,£4.5bn
83,Bic,BB,🇫🇷,Euronext Paris,General Industrials,€2.6bn
84,Biomerieux,BIM,🇫🇷,Euronext Paris,Pharmaceuticals & Biotechnology,€11.1bn
85,B&M European Value Retail S.A.,BME,🇬🇧,London Stock Exchange,Retailers,£5.4bn
86,BNP Paribas,BNP,🇫🇷,Euronext Paris,Banks,€72.3bn
87,Boliden AB,BOL,🇸🇪,Stockholm Stock Exchange,General Industrials,kr82.6bn
88,Bollore SE,BOL,🇫🇷,Euronext Paris,Industrial Transportation,€16.4bn
89,Bouygues,EN,🇫🇷,Euronext Paris,General Industrials,€12.2bn
90,BP plc,BP.,🇬🇧,London Stock Exchange,Oil & Gas Producers,£85.2bn
91,Brenntag SE,BNR,🇩🇪,Frankfurt Stock Exchange,Chemicals,€10.5bn
92,British American Tobacco Plc,BATS,🇬🇧,London Stock Exchange,Tobacco,£57.5bn
93,British Land Co plc,BLND,🇬🇧,London Stock Exchange,Real Estate Investment Trusts,£3.1bn
94,Britvic,BVIC,🇬🇧,London Stock Exchange,Beverages,£2.2bn
95,BT Group,BT.A,🇬🇧,London Stock Exchange,Telecomms,£11.3bn
96,Bucher Industries AG,BUCN,🇨🇭,SIX Swiss Exchange,Technology Hardware & Equipment,Fr.3.8bn
97,Bunzl plc,BNZL,🇬🇧,London Stock Exchange,Support Services,£9.4bn
98,Burberry Group,BRBY,🇬🇧,London Stock Exchange,Personal Goods,£8.2bn
99,Bureau Veritas,BVI,🇫🇷,Euronext Paris,Support Services,€11.3bn
100,"CaixaBank, S.A",CABK,🇪🇸,Madrid Stock Exchange,Financial Services,€28.3bn
101,Capgemini,CAP,🇫🇷,Euronext Paris,Software & Computer Services,€28.1bn
102,Capita Plc,CPI,🇬🇧,London Stock Exchange,Support Services,£329mn
103,Carlsberg - Class A Shares,CARL A,🇩🇰,Copenhagen Stock Exchange,Food Producers,kr.46.3bn
104,Carl Zeiss Meditec A G,AFX,🇩🇪,Frankfurt Stock Exchange,Pharmaceuticals & Biotechnology,€8.7bn
105,Carnival plc,CCL,🇬🇧,London Stock Exchange,Travel & Leisure,£1.8bn
106,Carrefour,CA,🇫🇷,Euronext Paris,Food and Drug Retailers,€13.0bn
107,Casino Guichard Perrachon,CO,🇫🇷,Euronext Paris,Travel & Leisure,€268mn
108,Castellum AB,CAST,🇸🇪,Stockholm Stock Exchange,Real Estate,kr57.4bn
109,CD Projekt S.A.,CDR,🇵🇱,Warsaw Stock Exchange,Leisure Goods,zł15.7bn
110,Cellnex Telecom S.A.,CLNX,🇪🇸,Madrid Stock Exchange,Telecomms,€25.4bn
111,Cembra Money Bank AG,CMBN,🇨🇭,SIX Swiss Exchange,Banks,Fr.2.0bn
112,Centrica plc,CNA,🇬🇧,London Stock Exchange,"Gas, Water & Multiutilities",£7.7bn
113,Chocoladefabriken Lindt & Sprungli AG.,LISN,🇨🇭,SIX Swiss Exchange,Food Producers,Fr.14.1bn
114,Chr. Hansen Holding,CHR,🇩🇰,Copenhagen Stock Exchange,Health Care Equipment & Services,kr.65.5bn
115,Christian Dior SE,CDI,🇫🇷,Euronext Paris,Personal Goods,€137.4bn
116,Cineworld Group,CINE,🇬🇧,London Stock Exchange,Travel & Leisure,£5mn
117,Clariant AG,CLN,🇨🇭,SIX Swiss Exchange,Chemicals,Fr.4.7bn
118,Close Brothers Group plc,CBG,🇬🇧,London Stock Exchange,Banks,£1.3bn
119,CNH Industrial NV,CNHI,🇺🇸,New York Stock Exchange,General Industrials,$18.7bn
120,CNP Assurances,CNP,🇫🇷,Euronext Paris,Nonlife Insurance,€14.3bn
121,Coca Cola HBC AG,EEE,🇬🇷,Athens Exchange,Beverages,€9.9bn
122,Cofinimmo,COFB,🇧🇪,Euronext Brussels,Real Estate Investment & Services,€2.4bn
123,Coloplast AS - Class B Shares,COLO B,🇩🇰,Copenhagen Stock Exchange,Health Care Equipment & Services,kr.161.5bn
124,Colruyt,COLR,🇧🇪,Euronext Brussels,Food and Drug Retailers,€4.6bn
125,Commerzbank AG,CBK,🇩🇪,Frankfurt Stock Exchange,Banks,€12.5bn
126,Compagnie de Saint-Gobain S.A.,SGO,🇫🇷,Euronext Paris,Construction & Materials,€31.3bn
127,Compagnie financiere Richemont SA,CFR,🇨🇭,SIX Swiss Exchange,Personal Goods,Fr.68.3bn
128,Compass Group Plc,CPG,🇬🇧,London Stock Exchange,Travel & Leisure,£34.8bn
129,Continental AG,CON,🇩🇪,Frankfurt Stock Exchange,Automobiles & Parts,€13.9bn
130,ConvaTec Group Plc,CTEC,🇬🇧,London Stock Exchange,Pharmaceuticals & Biotechnology,£4.6bn
131,Covestro AG,1COV,🇩🇪,Frankfurt Stock Exchange,Construction & Materials,€9.1bn
132,Covivio S.A,COV,🇫🇷,Euronext Paris,Real Estate Investment Trusts,€4.0bn
133,Credit Agricole S.A.,ACA,🇫🇷,Euronext Paris,Banks,€34.8bn
134,Credit Suisse Group AG,CSGN,🇨🇭,SIX Swiss Exchange,Banks,Fr.3.3bn
135,CRH Plc,CRH,🇬🇧,London Stock Exchange,Construction & Materials,£33.3bn
136,Croda International plc,CRDA,🇬🇧,London Stock Exchange,Chemicals,£7.7bn
137,Daily Mail & General Trust plc - Class A Shares,DMGT,🇬🇧,London Stock Exchange,Media,£569mn
138,Danone,BN,🇫🇷,Euronext Paris,Food Producers,€37.2bn
139,Danske Bank AS,DANSKE,🇩🇰,Copenhagen Stock Exchange,Banks,kr.140.0bn
140,Dassault Aviation,AM,🇫🇷,Euronext Paris,Aerospace & Defence,€14.6bn
141,Dassault Systemes SA,DSY,🇫🇷,Euronext Paris,Software & Computer Services,€50.3bn
142,Davide Campari,CPR,🇮🇹,Italian Stock Exchange,Beverages,€14.0bn
143,DCC Plc,DCC,🇬🇧,London Stock Exchange,Support Services,£4.4bn
144,Dechra Pharmaceuticals plc,DPH,🇬🇧,London Stock Exchange,Pharmaceuticals & Biotechnology,£4.3bn
145,Delivery Hero SE,DHER,🇩🇪,Frankfurt Stock Exchange,Food and Drug Retailers,€10.0bn
146,Demant AS,DEMANT,🇩🇰,Copenhagen Stock Exchange,Health Care Equipment & Services,kr.59.5bn
147,Derwent London Plc,DLN,🇬🇧,London Stock Exchange,Real Estate Investment Trusts,£2.4bn
148,Deutsche Bank AG,DBK,🇩🇪,Frankfurt Stock Exchange,Banks,€20.0bn
149,Deutsche Boerse AG,DB1,🇩🇪,Frankfurt Stock Exchange,Financial Services,€32.0bn
150,Deutsche Lufthansa AG,LHA,🇩🇪,Frankfurt Stock Exchange,Aerospace & Defence,€10.2bn
151,Deutsche Post AG,DPW,🇩🇪,Frankfurt Stock Exchange,Commercial Transportation,€53.8bn
152,Deutsche Telekom AG,DTE,🇩🇪,Frankfurt Stock Exchange,Telecomms,€92.5bn
153,Deutsche Wohnen SE,DWNI,🇩🇪,Frankfurt Stock Exchange,Property,€8.6bn
154,Diageo plc,DGE,🇬🇧,London Stock Exchange,Beverages,£75.0bn
155,Diasorin S.p.A.,DIA,🇮🇹,Italian Stock Exchange,Pharmaceuticals & Biotechnology,€2.2bn
156,Direct Line Insurance Group plc,DLG,🇬🇧,London Stock Exchange,Nonlife Insurance,£2.0bn
157,DKSH Holding AG,DKSH,🇨🇭,SIX Swiss Exchange,Support Services,Fr.4.4bn
158,Dometic Group AB (PUBL),DOM,🇸🇪,Stockholm Stock Exchange,Travel & Leisure,kr24.9bn
159,DSV AS - Class B Shares,DSV,🇩🇰,Copenhagen Stock Exchange,General Industrials,kr.293.0bn
160,Dufry AG,DUFN,🇨🇭,SIX Swiss Exchange,Travel & Leisure,Fr.6.4bn
161,Easyjet plc,EZJ,🇬🇧,London Stock Exchange,Travel & Leisure,£3.4bn
162,Edenred SE,EDEN,🇫🇷,Euronext Paris,Support Services,€14.5bn
163,EDP-Energias DE Portugal S.A.,EDP,🇵🇹,Euronext Lisbon,Electricity,€17.4bn
164,Eiffage,FGR,🇫🇷,Euronext Paris,Construction & Materials,€9.1bn
165,Electricite de France.,EDF,🇫🇷,Euronext Paris,Electricity,€50.0bn
166,Electrolux AB - Class B Shares,ELUX B,🇸🇪,Stockholm Stock Exchange,Household Goods,kr35.0bn
167,Elekta AB - Class B Shares,EKTA B,🇸🇪,Stockholm Stock Exchange,Health Care Equipment & Services,kr31.0bn
168,Elis.,ELIS,🇫🇷,Euronext Paris,Personal Goods,€4.3bn
169,Elisa Oyj - Class A Shares,ELISA,🇫🇮,Helsinki Stock Exchange,Software & Computer Services,€7.8bn
170,Ems-Chemie Holding AG,EMSN,🇨🇭,SIX Swiss Exchange,Conglomerates,Fr.16.6bn
171,Enagas SA,ENG,🇪🇸,Madrid Stock Exchange,Oil & Gas Producers,€4.2bn
172,Endesa S.A.,ELE,🇪🇸,Madrid Stock Exchange,Electricity,€20.0bn
173,Enel Spa,ENEL,🇮🇹,Italian Stock Exchange,Electricity,€61.1bn
174,Engie,ENGI,🇫🇷,Euronext Paris,Electricity,€35.5bn
175,Eni Spa,ENI,🇮🇹,Italian Stock Exchange,Oil & Gas Producers,€50.7bn
176,Entain plc,ENT,🇬🇧,London Stock Exchange,Travel & Leisure,£8.7bn
177,E. On SE,EOAN,🇩🇪,Frankfurt Stock Exchange,Electricity,€29.4bn
178,Epiroc AB - Class A Shares,EPI A,🇸🇪,Stockholm Stock Exchange,Mining,kr167.5bn
179,Equinor ASA,EQNR,🇳🇴,Oslo Stock Exchange,Oil & Gas Producers,kr939.2bn
180,Erste Group Bank AG,EBS,🇦🇹,Vienna Stock Exchange,Banks,€14.6bn
181,EssilorLuxottica,EL,🇫🇷,Euronext Paris,Health Care Equipment & Services,€80.8bn
182,Essity Aktiebolag (publ) - Class B Shares,ESSITY B,🇸🇪,Stockholm Stock Exchange,Health Care Equipment & Services,kr166.3bn
183,Eurazeo SE,RF,🇫🇷,Euronext Paris,Equity Investments,€4.4bn
184,Eurofins Scientific S.E.,ERF,🇫🇷,Euronext Paris,Pharmaceuticals & Biotechnology,€11.4bn
185,Euronext N.V.,ENX,🇫🇷,Euronext Paris,Financial Services,€7.3bn
186,Eutelsat Communications,ETL,🇫🇷,Euronext Paris,Telecomms,€1.5bn
187,Evonik Industries AG,EVK,🇩🇪,Frankfurt Stock Exchange,Chemicals,€8.5bn
188,Evotec SE,EVT,🇩🇪,Frankfurt Stock Exchange,Pharmaceuticals & Biotechnology,€3.9bn
189,Evraz Plc,EVR,🇬🇧,London Stock Exchange,Industrial Metals,£1.2bn
190,Exor N.V.,EXO,🇳🇱,Euronext Amsterdam,Conglomerates,€19.8bn
191,Experian Plc,EXPN,🇬🇧,London Stock Exchange,Support Services,£26.9bn
192,Fabege AB.,FABG,🇸🇪,Stockholm Stock Exchange,Property,kr29.8bn
193,Faurecia SE,EO,🇫🇷,Euronext Paris,Automobiles & Parts,€4.2bn
194,Ferguson Plc.,FERG,🇺🇸,New York Stock Exchange,General Industrials,$32.5bn
195,Ferrari N.V.,RACE,🇺🇸,New York Stock Exchange,Automobiles & Parts,$58.2bn
