ticker,recommendationMean,numberOfAnalystOpinions,beta,trailingEps,forwardEps,forwardPE,priceToBook,priceToFcf,enterpriseToRevenue,enterpriseToEbitda,ebitdaMargins,profitMargins,revenueGrowth,payoutRatio,debtToEquity,returnOnAssets,returnOnEquity,quickRatio,currentRatio
TKA.F,2.1,18.0,0.7071067811865472,-0.7071067811865472,0.7071067811865475,0.7071067811865475,0.7071067811865475,-0.7071067811865476,-0.7071067811865475,-0.7071067811865477,-0.7071067811867928,-0.7071067811865474,0.707106781186548,0.7071067811865476,-0.7071067811865475,-0.7071067811865476,-0.7071067811865476,0.7071067811865474,-0.707106781186548
TOM.OL,3.0,10.0,-0.7071067811865477,-0.7071067811865474,-0.7071067811865475,-0.7071067811865476,-0.7071067811865476,0.7071067811865475,0.7071067811865476,0.7071067811865476,0.7071067811865471,0.7071067811865476,0.7071067811865475,-0.7071067811865474,0.7071067811865475,0.7071067811865476,0.7071067811865475,0.7071067811865475,0.7071067811865475
TTE.PA,2.0,23.0,-0.15301220764371057,-1.184157245262337,-0.5447522815463345,-0.258280045705581,0.35998995794024863,-0.01615543330557115,-0.29536721378529,-0.3100983726614814,0.02316976974335376,-0.1245871671607459,-0.25736212552598975,0.7721947801150509,0.1282654929195938,-0.3835944004852389,-0.5695423087494266,-1.3662213916346815,-1.5048848802301578
TRYG.CO,2.1,14.0,-2.1683016584761483,-1.1759570604218825,-1.1037848879382837,-1.3229770034445556,-0.7442120725404662,0.17534021809995945,1.7418456771578725,0.5265968198293773,0.5794341549834392,0.554044440651748,0.01283969746728569,0.20403691343431973,1.4595350564295757,1.7742390569422464,-0.521932618880437,-0.15935890207246728,0.43812080138910225
UBI.PA,2.7,21.0,-0.7071067811865476,-0.7071067811865476,0.7071067811865475,0.7071067811865474,0.7071067811865475,0.7071067811865476,-0.7071067811865475,-0.7071067811865477,-0.7071067811865476,-0.7071067811865476,-0.7071067811865466,-0.7071067811865475,-0.7071067811865476,-0.7071067811865475,-0.7071067811865476,-0.7071067811865474,-0.7071067811865474
UCB.BR,2.3,21.0,-0.14691137198259838,0.6884336417385232,0.9065384291819195,-0.5290509632053366,0.6981863886705052,-0.6818483988933909,-0.4387076384114323,0.501365047284121,0.5836192804246316,0.4808725325820539,-0.6888759680409027,1.5,-1.4962761432220406,0.12446323598478978,0.2373285135544622,-1.2280355790984758,-1.263189198215504
UPM.HE,2.1,15.0,-0.7071067811865475,-0.7071067811865479,0.7071067811865475,0.7071067811865471,-0.7071067811865474,0.7071067811865476,0.7071067811865475,-0.7071067811865475,0.7071067811865475,0.7071067811865476,0.7071067811865476,-0.7071067811865474,0.7071067811865472,0.7071067811865476,0.7071067811865475,-0.7071067811865476,0.7071067811865485
FR.PA,2.2,18.0,0.7071067811865475,-0.7071067811865477,0.7071067811865501,0.7071067811865475,-0.7071067811865476,-0.7071067811865476,-0.7071067811865475,-0.7071067811865468,-0.7071067811865475,-0.7071067811865476,0.7071067811865475,0.7071067811865475,-0.7071067811865475,-0.7071067811865475,0.7071067811865479,-0.7071067811865476,-0.7071067811865476
VALMT.HE,2.1,10.0,-0.48895296534644633,1.6035144182367034,1.6236923008373965,0.9048442729211097,0.6298912726317045,0.40831451289586634,-0.6120965775909414,-0.9188705887949691,-0.6300759839851514,-0.5269077093052675,0.21526634759688731,-0.6857397823683128,0.3464234394346983,-0.6006377222306019,-0.3811996131177714,-0.8170664805081245,-1.0965014952617804
VACN.SW,2.7,13.0,0.6428548281300552,-1.0749697120903394,-1.6700909345550032,-2.306955007681815,-2.882600169976839,-0.35480994526965637,3.324306332627594,2.946142221054713,2.4393264080578616,2.7312832407489953,-2.2440079498749714,0.434356923639262,0.15237472751735037,2.5900003341514632,1.9783687854949574,-1.375063101342941,-0.8484411127650684
VIE.PA,2.0,13.0,0.7071067811865474,0.7071067811865477,0.7071067811865475,0.7071067811865474,0.7071067811865474,-0.7071067811865475,-0.7071067811865476,-0.7071067811865476,-0.7071067811865479,-0.7071067811865475,-0.7071067811865475,0.7071067811865476,-0.7071067811865477,-0.7071067811865476,-0.7071067811865477,-0.7071067811865477,-0.7071067811865476
VER.VI,3.2,12.0,1.0120871762333286,-0.40822670445538756,-0.20474883487902754,0.011226712146056281,-0.7770857467795955,1.0857760902062026,0.6570111612057006,-0.30861297247203484,0.6801000447338279,-0.17537791865032706,1.1103062173083547,-0.7456223342687351,1.1524966368468477,1.1529941211466488,1.0676518665089674,-1.1493364408644429,-1.1509693132261103
DG.PA,1.8,21.0,-0.3577335423263994,-0.3327562639523958,-0.6581867685075888,-0.6197138632483123,-0.8980877587573185,0.3228063654125292,0.5597830460180477,-0.0894719049631054,0.8081843023082205,0.0956435549341119,0.07002882743169184,0.10095502908068808,0.1349055853373067,0.811361361352203,0.6753394730692159,-0.7061763924766448,0.0325140124761539
VIS.MC,1.9,12.0,-0.7071067811865475,-0.7071067811865474,-0.7071067811865479,-0.7071067811865472,-0.7071067811865476,0.7071067811865476,0.7071067811865475,0.7071067811865466,0.7071067811865475,0.7071067811865474,0.7071067811865475,0.7071067811865472,0.7071067811865476,0.7071067811865477,0.7071067811865485,0.7071067811865475,0.7071067811865477
VOE.VI,2.5,15.0,-0.7071067811865476,-0.7071067811865476,-0.7071067811865476,-0.7071067811865477,-0.7071067811865476,-0.7071067811865476,0.707106781186548,0.707106781186547,-0.7071067811865475,-0.7071067811865474,0.7071067811865477,0.7071067811865476,-0.7071067811865476,0.707106781186548,0.7071067811865475,0.7071067811865469,0.7071067811865476
VOW3.F,2.1,27.0,-0.7071067811865472,0.7071067811865475,-0.7071067811865477,-0.7071067811865474,-0.7071067811865486,-0.7071067811865476,-0.7071067811865479,-0.7071067811865466,-0.7071067811865475,-0.7071067811865476,-0.7071067811865477,0.7071067811865476,0.7071067811865475,0.7071067811865475,-0.7071067811865471,-0.707106781186548,0.7071067811865455
WRT1V.HE,2.6,18.0,0.40155029704059797,-1.5163609491149255,0.06040279495234132,0.3532996123996318,0.27432110089996675,0.3141292972552507,-0.508364508097406,0.5145491584371693,-1.4370789200229697,-1.4457994937878098,-0.40178793067786994,1.8194859345473149,0.1542662080943027,-1.042237356324583,-1.3669376013126449,-0.3985690148820121,-0.6708821021358435
