"Symbol","Description","Local Symbol","IPO Date","Category1","Category2","Category3","GICS Sector","ISIN","SEDOL","Market Cap","Currency","Actions"
"GY:TIMA","Zeal Network N","TIMA","06/18/2012","Global Equity","Common stocks","Developed markets ex-US","Consumer Discretionary","DE000ZEAL241","BKDPJX7","0","EUR","Analyze"
"GY:TKA","thyssenkrupp AG","TKA","02/01/1994","Global Equity","Comon stocks","Developed markets ex-US","Materials","DE0007500001","","0","EUR","Analyze"
"GY:TLGU","Tlg Immobilien U Ag","TLGU","08/14/2023","Global Equity","Common stocks","Developed markets ex-US","Real Estate","DE000A254104","BKWC3X7","0","EUR","Analyze"
"GY:TLX","Talanx AG","TLX","10/02/2012","Global Equity","Comon stocks","Developed markets ex-US","Financials","DE000TLX1005","","0","EUR","Analyze"
"GY:TMV","Teamviewer Ag","TMV","09/25/2019","Global Equity","Common stocks","Developed markets ex-US","Information Technology","DE000A2YN900","BJ7WGS1","0","EUR","Analyze"
"GY:TNIE","tonies SE","TNIE","04/30/2021","Global Equity","Comon stocks","Developed markets ex-US","Consumer Discretionary","","","0","EUR","Analyze"
"GY:TPE","PVA TePla AG","TPE","06/21/1999","Global Equity","Comon stocks","Developed markets ex-US","Information Technology","DE0007461006","","0","EUR","Analyze"
"GY:TTK","TAKKT AG","TTK","09/20/1999","Global Equity","Comon stocks","Developed markets ex-US","Consumer Discretionary","DE0007446007","","0","EUR","Analyze"
"GY:UN01","Uniper SE","UN01","09/11/2016","Global Equity","Common stocks","Developed markets ex-US","Utilities","DE000UNSE018","BZ6CZ43","0","EUR","Analyze"
"GY:UTDI","United Internet AG","UTDI","03/25/1998","Global Equity","Comon stocks","Developed markets ex-US","Communication Services","DE0005089031","","0","EUR","Analyze"
"GY:VAR1","Varta AG","VAR1","01/03/2000","Global Equity","Common stocks","Developed markets ex-US","Industrials","DE000A0TGJ55","5802449","0","EUR","Analyze"
"GY:VBK","VERBIO Vereinigte BioEnergie AG","VBK","10/16/2006","Global Equity","Comon stocks","Developed markets ex-US","Energy","DE000A0JL9W6","","0","EUR","Analyze"
"GY:VIH1","Vib Vermoegen N Ag","VIH1","11/28/2005","Global Equity","Common stocks","Developed markets ex-US","Real Estate","DE000A2YPDD0","BH4GH67","0","EUR","Analyze"
"GY:VNA","Vonovia SE","VNA","07/02/2013","Global Equity","Common stocks","Developed markets ex-US","Real Estate","DE000A1ML7J1","BBJPFY1","0","EUR","Analyze"
"GY:VNAR","VONOVIA RIGHTS","VNAR","11/29/2021","Global Equity","Comon stocks","Developed markets ex-US","Real Estate","","","0","EUR","Analyze"
"GY:VOS","Vossloh AG","VOS","02/01/1994","Global Equity","Comon stocks","Developed markets ex-US","Industrials","DE0007667107","","0","EUR","Analyze"
"GY:VOW","Volkswagen AG","VOW","02/01/1994","Global Equity","Comon stocks","Developed markets ex-US","Consumer Discretionary","DE0007664005","","0","EUR","Analyze"
"GY:VOW3","Volkswagen AG","VOW3","01/03/2000","Global Equity","Common stocks","Developed markets ex-US","Consumer Discretionary","DE0007664039","5497168","0","EUR","Analyze"
"GY:VT9A","Vtg V Ag","VT9A","08/14/2023","Global Equity","Common stocks","Developed markets ex-US","Industrials","DE000VTG01V2","BDF0MM1","0","EUR","Analyze"
"GY:VTSC","Vitesco Technologies","VTSC","09/16/2021","Global Equity","Common stocks","Developed markets ex-US","Consumer Discretionary","DE000VTSC017","BMYLGD7","0","EUR","Analyze"
"GY:WAC","Wacker Neuson SE","WAC","05/15/2007","Global Equity","Comon stocks","Developed markets ex-US","Industrials","DE000WACK012","","0","EUR","Analyze"
"GY:WAF","Siltronic AG","WAF","06/11/2015","Global Equity","Common stocks","Developed markets ex-US","Information Technology","DE000WAF3001","BYY5978","0","EUR","Analyze"
"GY:WAF1","Siltronic V Ag","WAF1","02/12/2021","Global Equity","Common stocks","Developed markets ex-US","Information Technology","DE000WAF3019","BN49111","0","EUR","Analyze"
"GY:WCH","Wacker Chemie AG","WCH","04/10/2006","Global Equity","Comon stocks","Developed markets ex-US","Materials","DE000WCH8881","","0","EUR","Analyze"
"GY:WEW","Westwing Group Ag","WEW","10/09/2018","Global Equity","Common stocks","Developed markets ex-US","Consumer Discretionary","DE000A2N4H07","BD9PFL2","0","EUR","Analyze"
"GY:WSO1","wallstreet:online AG","WSO1","02/22/2006","Global Equity","Common stocks","Developed markets ex-US","Unknown","DE000A2GS609","BZ6CMC0","0","EUR","Analyze"
"GY:WSU","WashTec AG","WSU","11/12/1997","Global Equity","Comon stocks","Developed markets ex-US","Industrials","DE0007507501","","0","EUR","Analyze"
"GY:WUW","Wüstenrot & Württembergische AG","WUW","09/13/1999","Global Equity","Comon stocks","Developed markets ex-US","Financials","DE0008051004","","0","EUR","Analyze"
"GY:YOU","ABOUT YOU Holding AG","YOU","06/16/2021","Global Equity","Comon stocks","Developed markets ex-US","Consumer Discretionary","","","0","EUR","Analyze"
"GY:YSN","Secunet Security Ag","YSN","11/09/1999","Global Equity","Common stocks","Developed markets ex-US","Information Technology","DE0007276503","5808845","0","EUR","Analyze"
"GY:ZAL","Zalando SE","ZAL","09/30/2014","Global Equity","Common stocks","Developed markets ex-US","Consumer Discretionary","DE000ZAL1111","BQV0SV7","0","EUR","Analyze"
"GY:ZIL2","ElringKlinger AG","ZIL2","02/04/1994","Global Equity","Comon stocks","Developed markets ex-US","Consumer Discretionary","DE0007856023","","0","EUR","Analyze"
