"Symbol","Description","Local Symbol","IPO Date","Category1","Category2","Category3","GICS Sector","ISIN","SEDOL","Market Cap","Currency","Actions"
"GY:AEIN","Allgeier","AEIN","07/21/2000","Global Equity","Common stocks","Developed markets ex-US","Information Technology","DE000A2GS633","BD814R0","0","EUR","Analyze"
"GY:AG1","AUTO1 Group SE","AG1","02/08/2021","Global Equity","Comon stocks","Developed markets ex-US","Consumer Discretionary","","","0","EUR","Analyze"
"GY:ALV","Allianz SE","ALV","02/01/1994","Global Equity","Comon stocks","Developed markets ex-US","Financials","DE0008404005","","0","EUR","Analyze"
"GY:AM3D","SLM Solutions Group AG","AM3D","05/08/2014","Global Equity","Common stocks","Developed markets ex-US","Industrials","DE000A111338","BMHTHK2","0","EUR","Analyze"
"GY:ANNGR","Vonovia Se","ANNGR","08/14/2023","Global Equity","Common stocks","Developed markets ex-US","Real Estate","DE000A2TSGY3","BK1W446","0","EUR","Analyze"
"GY:ARL0","AAREAL BANK ACCEPTANCE SHARES","ARL0","06/14/2022","Global Equity","Comon stocks","Developed markets ex-US","Financials","","","0","EUR","Analyze"
"GY:AT1","Aroundtown SA","AT1","11/23/2015","Global Equity","Common stocks","Developed markets ex-US","Real Estate","LU1673108939","BF0CK44","0","EUR","Analyze"
"GY:BAYN","Bayer Aktiengesellschaft","BAYN","02/01/1994","Global Equity","Comon stocks","Developed markets ex-US","Health Care","DE000BAY0017","","0","EUR","Analyze"
"GY:BAYR","Bayer Rights Ag","BAYR","08/14/2023","Global Equity","Common stocks","Developed markets ex-US","Health Care","DE000BAY1BR7","BZ1NVG5","0","EUR","Analyze"
"GY:BC8","Bechtle AG","BC8","03/30/2000","Global Equity","Comon stocks","Developed markets ex-US","Information Technology","DE0005158703","","0","EUR","Analyze"
"GY:BIKE","Bike24 Holding AG","BIKE","06/25/2021","Global Equity","Comon stocks","Developed markets ex-US","Consumer Discretionary","DE000A3CQ7F4","","0","EUR","Analyze"
"GY:BIO3","Biotest Aktiengesellschaft","BIO3","10/09/1998","Global Equity","Common stocks","Developed markets ex-US","Health Care","DE0005227235","5119893","0","EUR","Analyze"
"GY:BMW3","Bayerische Motoren Werke Aktiengesellschaft","BMW3","12/15/1997","Global Equity","Common stocks","Developed markets ex-US","Consumer Discretionary","DE0005190037","5756030","0","EUR","Analyze"
"GY:BVB","Borussia Dortmund GmbH & Co. Kommanditgesellschaft auf Aktien","BVB","10/31/2000","Global Equity","Comon stocks","Developed markets ex-US","Communication Services","DE0005493092","","0","EUR","Analyze"
"GY:BVBA","Borussia Dortmund Rights","BVBA","09/22/2021","Global Equity","Common stocks","Developed markets ex-US","Communication Services","DE000A3E5DT0","BK9RLH5","0","EUR","Analyze"
"GY:CC1","Consus Real Estate AG","CC1","06/22/2017","Global Equity","Common stocks","Developed markets ex-US","Real Estate","DE000A2DA414","BDD94V3","0","EUR","Analyze"
"GY:CC1R","Consus Real Estate Rights Ag","CC1R","08/14/2023","Global Equity","Common stocks","Developed markets ex-US","Real Estate","DE000A2LQUH0","BFMJV39","0","EUR","Analyze"
"GY:CCAP","CORESTATE Capital Holding S.A","CCAP","10/04/2016","Global Equity","Common stocks","Developed markets ex-US","Real Estate","LU1296758029","BZ168H4","0","EUR","Analyze"
"GY:CE2","CropEnergies AG","CE2","09/29/2006","Global Equity","Comon stocks","Developed markets ex-US","Energy","DE000A0LAUP1","","0","EUR","Analyze"
"GY:CON","Continental Ag","CON","02/01/1994","Global Equity","Common stocks","Developed markets ex-US","Consumer Discretionary","DE000VTSC0T7","BNLXP36","0","EUR","Analyze"
"GY:COP","Compugroup Medical N","COP","06/18/2001","Global Equity","Common stocks","Developed markets ex-US","Health Care","DE000A288904","BMY7CH1","0","EUR","Analyze"
"GY:CWC","CEWE Stiftung & Co. KGaA","CWC","02/21/1994","Global Equity","Comon stocks","Developed markets ex-US","Industrials","DE0005403901","","0","EUR","Analyze"
"GY:D6H","Datagroup","D6H","09/14/2006","Global Equity","Common stocks","Developed markets ex-US","Information Technology","DE000A0JC8S7","B1D7R92","0","EUR","Analyze"
"GY:DBAB","Deutsche Beteiligungs Rights Ag","DBAB","04/16/2021","Global Equity","Common stocks","Developed markets ex-US","Financials","DE000A3E4951","BLFG6Q7","0","EUR","Analyze"
"GY:DBAN","Deutsche Beteiligungs AG","DBAN","12/04/1997","Global Equity","Common stocks","Developed markets ex-US","Financials","DE000A1TNUT7","BBNBQJ7","0","EUR","Analyze"
"GY:DBK","Deutsche Bank Aktiengesellschaft","DBK","02/01/1994","Global Equity","Comon stocks","Developed markets ex-US","Financials","DE0005140008","","0","EUR","Analyze"
"GY:DEQ","Deutsche EuroShop AG","DEQ","01/02/2001","Global Equity","Comon stocks","Developed markets ex-US","Real Estate","DE0007480204","","0","EUR","Analyze"
"GY:DEQB","DEUTSCHE EUROSHOP RIGHTS AG","DEQB","01/18/2023","Global Equity","Comon stocks","Developed markets ex-US","Real Estate","","","0","EUR","Analyze"
"GY:DEZ","DEUTZ Aktiengesellschaft","DEZ","02/01/1994","Global Equity","Comon stocks","Developed markets ex-US","Industrials","DE0006305006","","0","EUR","Analyze"
"GY:DIC","DIC Asset AG","DIC","05/05/2003","Global Equity","Comon stocks","Developed markets ex-US","Real Estate","DE000A1X3XX4","","0","EUR","Analyze"
"GY:DMP","Dermapharm Holding","DMP","02/09/2018","Global Equity","Common stocks","Developed markets ex-US","Health Care","DE000A2GS5D8","BFYTTC2","0","EUR","Analyze"
"GY:DRW3","Drägerwerk AG & Co. KGaA","DRW3","02/11/1994","Global Equity","Comon stocks","Developed markets ex-US","Health Care","DE0005550636","","0","EUR","Analyze"
"GY:DTE","Deutsche Telekom AG","DTE","11/18/1996","Global Equity","Comon stocks","Developed markets ex-US","Communication Services","DE0005557508","","0","EUR","Analyze"
"GY:DUE","Dürr Aktiengesellschaft","DUE","02/01/1994","Global Equity","Comon stocks","Developed markets ex-US","Industrials","DE0005565204","","0","EUR","Analyze"
"GY:DWNI","Deutsche Wohnen SE","DWNI","07/03/2006","Global Equity","Comon stocks","Developed markets ex-US","Real Estate","DE000A0HN5C6","","0","EUR","Analyze"
"GY:ECV","Encavis AG","ECV","07/28/1998","Global Equity","Comon stocks","Developed markets ex-US","Utilities","DE0006095003","","0","EUR","Analyze"
"GY:ED4","EDAG Engineering Group AG","ED4","12/01/2015","Global Equity","Common stocks","Developed markets ex-US","Consumer Discretionary","CH0303692047","BYM8DF5","0","EUR","Analyze"
"GY:EIN3","Einhell Germany AG","EIN3","02/08/1994","Global Equity","Comon stocks","Developed markets ex-US","Consumer Discretionary","DE0005654933","","0","EUR","Analyze"
"GY:ELG","Elmos Semiconductor SE","ELG","10/11/1999","Global Equity","Comon stocks","Developed markets ex-US","Information Technology","DE0005677108","","0","EUR","Analyze"
"GY:EUZ","Eckert & Ziegler Strahlen Und Medi","EUZ","01/14/2003","Global Equity","Common stocks","Developed markets ex-US","Health Care","DE0005659700","5689857","0","EUR","Analyze"
"GY:EVK","Evonik Industries AG","EVK","04/25/2013","Global Equity","Comon stocks","Developed markets ex-US","Materials","DE000EVNK013","","0","EUR","Analyze"
"GY:EXL","Exasol N Ag","EXL","05/25/2020","Global Equity","Common stocks","Developed markets ex-US","Information Technology","DE000A0LR9G9","BMFYGF7","0","EUR","Analyze"
"GY:FIE","Fielmann Aktiengesellschaft","FIE","09/16/1994","Global Equity","Comon stocks","Developed markets ex-US","Consumer Discretionary","DE0005772206","","0","EUR","Analyze"
"GY:FRU","Ferratum Oyj","FRU","01/21/2015","Global Equity","Common stocks","Developed markets ex-US","Financials","FI4000106299","BV0L292","0","EUR","Analyze"
"GY:G24B","Scout24 Rights Ag","G24B","04/01/2021","Global Equity","Common stocks","Developed markets ex-US","Communication Services","DE000A3H3LR9","BNG4824","0","EUR","Analyze"
"GY:GFT","GFT Technologies SE","GFT","06/28/1999","Global Equity","Comon stocks","Developed markets ex-US","Information Technology","DE0005800601","","0","EUR","Analyze"
"GY:GLJ","Grenke AG","GLJ","04/04/2000","Global Equity","Comon stocks","Developed markets ex-US","Financials","DE000A161N30","","0","EUR","Analyze"
"GY:GMMV","Grammer V Ag","GMMV","08/14/2023","Global Equity","Common stocks","Developed markets ex-US","Consumer Discretionary","DE000A2LQTW1","BD31GK2","0","EUR","Analyze"
"GY:GYC","Grand City Properties S.A","GYC","05/29/2012","Global Equity","Comon stocks","Developed markets ex-US","Real Estate","LU0775917882","","0","EUR","Analyze"
"GY:H24","Home24","H24","06/15/2018","Global Equity","Common stocks","Developed markets ex-US","Consumer Discretionary","DE000A14KEB5","BZ15FQ9","0","EUR","Analyze"
"GY:HAB","Hamborner REIT AG","HAB","10/09/1998","Global Equity","REITs","Developed markets ex-US","Real Estate","DE0006013006","5735642","0","EUR","Analyze"
"GY:HABA","Hamborner REIT AG","HABA","02/01/1994","Global Equity","Common stocks","Developed markets ex-US","Unknown","DE000A3H2333","BMH5DF7","0","EUR","Analyze"
"GY:HEI","HeidelbergCement AG","HEI","02/01/1994","Global Equity","Comon stocks","Developed markets ex-US","Materials","DE0006047004","","0","EUR","Analyze"
"GY:HEN3","Henkel AG & Co. KGaA","HEN3","12/15/1997","Global Equity","Common stocks","Developed markets ex-US","Consumer Staples","DE0006048432","5076705","0","EUR","Analyze"
"GY:HFG","HelloFresh SE","HFG","11/02/2017","Global Equity","Common stocks","Developed markets ex-US","Consumer Staples","DE000A161408","BYWH8S0","0","EUR","Analyze"
"GY:HHFA","Hamburger Hafen und Logistik Aktiengesellschaft","HHFA","11/02/2007","Global Equity","Comon stocks","Developed markets ex-US","Industrials","DE000A0S8488","","0","EUR","Analyze"
"GY:HLAG","Hapag-Lloyd Aktiengesellschaft","HLAG","11/06/2015","Global Equity","Common stocks","Developed markets ex-US","Industrials","DE000HLAG475","BYZTSW7","0","EUR","Analyze"
"GY:HYQ","Hypoport SE","HYQ","10/29/2007","Global Equity","Comon stocks","Developed markets ex-US","Financials","DE0005493365","","0","EUR","Analyze"
